Date,AAPL,AMZN,GOOGL,MSFT,TSLA,BRK_B,META,NVDA,UNH,SP_500,CPI,Total_nonfarm,Total_private,Average_weekly_earnings,FEDFUNDS,GDP
2019-09,-0.007905138339920908,0.051103920822230725,0.016870079560128343,0.023332938528959013,0.06043844547578989,0.018380550926379767,-0.04770318021201411,-0.039221358672370824,-0.08571917661659606,0.010207382136740793,2.5044028464577406,208.0,195.0,968.7,2.04,273.8505153712468
2019-10,0.049619703006157145,0.11923947487550929,0.0322792069474029,0.1699074074074074,0.2884753086419754,0.025220195408384178,0.10586383313656032,0.028373065275421265,0.19069462647444305,0.026905330848277904,2.67072730886815,185.0,190.0,971.46,1.83,258.4181078759017
2019-11,0.04968944099378874,0.07830448147548945,0.03698412698412696,0.07340720221606639,0.05752324740218371,0.03516266841932308,0.02491103202846978,0.023530537897172858,0.09324632439657217,0.03291214020808026,3.2778581013518595,261.0,247.0,972.06,1.55,253.42488239688777
2019-12,0.0307034845496385,0.08750937734433602,0.022340425531914978,0.06405529953917054,0.2231584669747213,0.025668934240362797,0.011904761904761934,0.013323944591754762,0.05595109672779576,0.02160664467872826,2.52541708194376,147.0,142.0,973.09,1.55,266.13289688493563
2020-01,0.09848823116667728,0.10692236056979271,0.09887033141436898,0.056613252490255596,0.5802481481481481,0.0014591439688716506,0.021715686274509836,0.11371878393051034,-0.05274807600626578,0.020885300356434194,3.73900290493838,315.0,255.0,975.15,1.55,227.98718108155464
2020-02,-0.11497590151559149,-0.19839217274795132,-0.13185862411946647,-0.006213827816306869,-0.01609451867615733,-0.10848161066713771,-0.12344672072158527,-0.11544892199252242,-0.11492971923643824,-0.11133249856047377,2.87314075414153,289.0,243.0,980.74,1.58,230.5467387674296
2020-03,0.04586313234039767,-0.006452616030474993,-0.09854744920780652,0.10205563071237665,-0.20398523106241065,-0.09840530903328039,-0.09425287356321839,0.08250717777177721,-0.011047928513403733,-0.10360656861736776,2.96611597454439,-1683.0,-1622.0,980.03,0.65,356.98137010461335
2020-04,0.1292346298619824,0.13442879499217522,0.15898426958467168,0.10887724550898212,0.7061140088638317,0.034331227684702,0.25042301184433163,0.23187822943976383,0.1773040906850665,0.12093976723818112,2.0514104511105,-20679.0,-19731.0,1028.39,0.05,359.0117396706293
2020-05,0.01516666666666661,0.10101393295626991,0.06690151424107688,0.15487424567656238,-0.054303690230422405,-0.027721720658523626,0.08834332109027644,-0.0016116768050780828,0.06303854875283464,0.03216065999979536,3.0423409595286204,2833.0,3345.0,1031.98,0.05,431.7575977433358
2020-06,0.08292015542056595,0.12789350039154262,-0.016579486493526734,0.08878368110351266,0.24451236815309535,-0.03457504915883773,-0.020470692717584303,0.11139597837694644,-0.05299947492780268,0.008273915184931672,1.6303799442617,4846.0,4807.0,1015.51,0.08,328.75008245309
2020-07,0.032938822126317706,0.1428993556987336,0.07170981043468319,0.13413141507408202,0.5052175856929957,0.10359264497878361,0.15970805566888793,0.2081639706435521,0.051529958069099366,0.07220837977837519,4.12644301223046,1726.0,1523.0,1016.2,0.09,352.2701132421756
2020-08,0.11056751467710368,0.24003973414667815,0.09787248254901296,0.2479812179905901,0.4673579531109376,0.12078334871321646,0.14905011336095692,0.05086004932182498,0.03773398365409962,0.07316424345273592,2.5642504572569904,1583.0,1066.0,1022.61,0.1,301.6426711071094
2020-09,-0.08488986784140974,-0.108089042169619,-0.11112030518931344,-0.0019191673999453573,-0.052382774202733774,-0.03435184338120936,-0.10875999319612169,-0.07857165905444141,-0.034519991108005986,-0.04801508947981753,1.09289511329196,716.0,932.0,1026.6,0.09,290.00026295167186
2020-10,-0.020362971164492323,-0.02399156340627475,0.14135047668070325,-0.023370701121033705,-0.034236684705212184,-0.050210790583108435,0.0477899076265363,0.005287889110323008,-0.002598513255706742,-0.014252321763672408,1.7918610038630802,680.0,954.0,1027.3,0.09,307.73093805489674
2020-11,0.05208845208845206,0.05321447866018365,0.06489588830782515,0.03229571984435805,0.48001132477781766,0.15300982494638676,0.005573770491803179,0.0160652363233316,0.10513471622200968,0.1034099569163131,1.36409877769683,264.0,359.0,1030.43,0.09,368.3567914470128
2020-12,0.03549743110695934,0.14627682311703868,-0.021614619998310443,-0.009687146626460665,0.1623689949914465,-0.00826160301051082,-0.0145998623338042,0.020732558719393564,0.029632061114261008,0.027266123307045923,1.4012624303769898,-227.0,-204.0,1037.53,0.09,295.62972265336793
2021-01,0.06445647271087064,0.013051909307875894,0.05569082526032213,-0.004681612301602448,0.18573093901341448,0.0007414515003488638,-0.024632352941176428,-0.013740458015267175,-0.024663807094829723,0.011994846341143341,1.17126192381685,520.0,423.0,1047.55,0.09,280.5677235822443
2021-02,-0.018920293232764115,-0.09747478465729226,0.10683089606438326,0.05181644359464629,-0.1566264232834755,0.0684244933536719,-0.03328307576328678,-0.041733746130031016,-0.017769589635396432,0.016307354322997226,2.79187179404496,710.0,693.0,1039.38,0.08,215.4121751810311
